date,day_of_week,is_weekend,is_salary_period,event,weather
2026-03-18,Wednesday,0,0,,Hot
2026-03-19,Thursday,0,0,,Hot
2026-03-20,Friday,0,0,,Hot
2026-03-21,Saturday,1,0,,Hot
2026-03-22,Sunday,1,0,,Hot
2026-03-23,Monday,0,0,,Hot
2026-03-24,Tuesday,0,0,,Hot
2026-03-25,Wednesday,0,0,,Hot
2026-03-26,Thursday,0,0,,Hot
2026-03-27,Friday,0,0,,Hot
2026-03-28,Saturday,1,1,,Hot
2026-03-29,Sunday,1,1,,Hot
2026-03-30,Monday,0,1,,Hot
2026-03-31,Tuesday,0,1,,Hot
2026-04-01,Wednesday,0,1,,Hot
2026-04-02,Thursday,0,1,,Hot
2026-04-03,Friday,0,1,,Hot
2026-04-04,Saturday,1,0,Local_Market,Hot
2026-04-05,Sunday,1,0,Local_Market,Hot
2026-04-06,Monday,0,0,,Hot
2026-04-07,Tuesday,0,0,,Hot
2026-04-08,Wednesday,0,0,,Hot
2026-04-09,Thursday,0,0,,Hot
2026-04-10,Friday,0,0,,Hot
2026-04-11,Saturday,1,0,Local_Market,Hot
2026-04-12,Sunday,1,0,Local_Market,Hot
2026-04-13,Monday,0,0,,Hot
2026-04-14,Tuesday,0,0,,Hot
2026-04-15,Wednesday,0,0,,Hot
2026-04-16,Thursday,0,0,,Hot
2026-04-17,Friday,0,0,,Hot
2026-04-18,Saturday,1,0,Local_Market,Hot
2026-04-19,Sunday,1,0,Local_Market,Hot
2026-04-20,Monday,0,0,,Hot
2026-04-21,Tuesday,0,0,,Hot
2026-04-22,Wednesday,0,0,,Hot
2026-04-23,Thursday,0,0,,Hot
2026-04-24,Friday,0,0,,Hot
2026-04-25,Saturday,1,0,Local_Market,Hot
2026-04-26,Sunday,1,0,Local_Market,Hot
2026-04-27,Monday,0,0,,Hot
2026-04-28,Tuesday,0,1,,Hot
2026-04-29,Wednesday,0,1,,Hot
2026-04-30,Thursday,0,1,,Hot
2026-05-01,Friday,0,1,,Hot
2026-05-02,Saturday,1,1,Local_Market,Hot
2026-05-03,Sunday,1,1,Local_Market,Hot
2026-05-04,Monday,0,0,,Hot
2026-05-05,Tuesday,0,0,,Hot
2026-05-06,Wednesday,0,0,,Hot
2026-05-07,Thursday,0,0,,Hot
2026-05-08,Friday,0,0,,Hot
2026-05-09,Saturday,1,0,Local_Market,Hot
2026-05-10,Sunday,1,0,Local_Market,Hot
2026-05-11,Monday,0,0,,Hot
2026-05-12,Tuesday,0,0,,Hot
2026-05-13,Wednesday,0,0,,Hot
2026-05-14,Thursday,0,0,,Hot
2026-05-15,Friday,0,0,,Hot
2026-05-16,Saturday,1,0,Local_Market,Hot
2026-05-17,Sunday,1,0,Local_Market,Hot
2026-05-18,Monday,0,0,,Hot
2026-05-19,Tuesday,0,0,,Hot
2026-05-20,Wednesday,0,0,,Hot
2026-05-21,Thursday,0,0,,Hot
2026-05-22,Friday,0,0,,Hot
2026-05-23,Saturday,1,0,Local_Market,Hot
2026-05-24,Sunday,1,0,Local_Market,Hot
2026-05-25,Monday,0,0,,Hot
2026-05-26,Tuesday,0,0,,Hot
2026-05-27,Wednesday,0,0,,Hot
2026-05-28,Thursday,0,1,,Hot
2026-05-29,Friday,0,1,,Hot
2026-05-30,Saturday,1,1,Local_Market,Hot
2026-05-31,Sunday,1,1,Local_Market,Hot
2026-06-01,Monday,0,1,,Hot
2026-06-02,Tuesday,0,1,,Hot
2026-06-03,Wednesday,0,1,,Hot
2026-06-04,Thursday,0,0,,Hot
2026-06-05,Friday,0,0,,Hot
2026-06-06,Saturday,1,0,,Hot
2026-06-07,Sunday,1,0,,Hot
2026-06-08,Monday,0,0,,Hot
2026-06-09,Tuesday,0,0,,Hot
2026-06-10,Wednesday,0,0,,Hot
2026-06-11,Thursday,0,0,,Hot
2026-06-12,Friday,0,0,,Hot
2026-06-13,Saturday,1,0,,Hot
2026-06-14,Sunday,1,0,,Hot
2026-06-15,Monday,0,0,,Hot
2026-06-16,Tuesday,0,0,,Hot
2026-06-17,Wednesday,0,0,,Hot
2026-06-18,Thursday,0,0,,Hot
2026-06-19,Friday,0,0,,Hot
2026-06-20,Saturday,1,0,,Hot
2026-06-21,Sunday,1,0,,Hot
2026-06-22,Monday,0,0,,Hot
2026-06-23,Tuesday,0,0,,Hot
2026-06-24,Wednesday,0,0,,Hot
2026-06-25,Thursday,0,0,,Hot
2026-06-26,Friday,0,0,,Hot
2026-06-27,Saturday,1,0,,Hot
2026-06-28,Sunday,1,1,,Hot
2026-06-29,Monday,0,1,,Hot
2026-06-30,Tuesday,0,1,,Hot
2026-07-01,Wednesday,0,1,,Rainy
2026-07-02,Thursday,0,1,,Rainy
2026-07-03,Friday,0,1,,Rainy
2026-07-04,Saturday,1,0,,Rainy
2026-07-05,Sunday,1,0,,Rainy
2026-07-06,Monday,0,0,,Rainy
2026-07-07,Tuesday,0,0,,Rainy
2026-07-08,Wednesday,0,0,,Rainy
2026-07-09,Thursday,0,0,,Rainy
2026-07-10,Friday,0,0,,Rainy
2026-07-11,Saturday,1,0,,Rainy
2026-07-12,Sunday,1,0,,Rainy
2026-07-13,Monday,0,0,,Rainy
2026-07-14,Tuesday,0,0,,Rainy
2026-07-15,Wednesday,0,0,,Rainy
2026-07-16,Thursday,0,0,,Rainy
2026-07-17,Friday,0,0,,Rainy
2026-07-18,Saturday,1,0,,Rainy
2026-07-19,Sunday,1,0,,Rainy
2026-07-20,Monday,0,0,,Rainy
2026-07-21,Tuesday,0,0,,Rainy
2026-07-22,Wednesday,0,0,,Rainy
2026-07-23,Thursday,0,0,,Rainy
2026-07-24,Friday,0,0,,Rainy
2026-07-25,Saturday,1,0,,Rainy
2026-07-26,Sunday,1,0,,Rainy
2026-07-27,Monday,0,0,,Rainy
2026-07-28,Tuesday,0,1,,Rainy
2026-07-29,Wednesday,0,1,,Rainy
2026-07-30,Thursday,0,1,,Rainy
2026-07-31,Friday,0,1,,Rainy
2026-08-01,Saturday,1,1,,Rainy
2026-08-02,Sunday,1,1,,Rainy
2026-08-03,Monday,0,1,,Rainy
2026-08-04,Tuesday,0,0,,Rainy
2026-08-05,Wednesday,0,0,,Rainy
2026-08-06,Thursday,0,0,,Rainy
2026-08-07,Friday,0,0,,Rainy
2026-08-08,Saturday,1,0,,Rainy
2026-08-09,Sunday,1,0,,Rainy
2026-08-10,Monday,0,0,,Rainy
2026-08-11,Tuesday,0,0,,Rainy
2026-08-12,Wednesday,0,0,,Rainy
2026-08-13,Thursday,0,0,,Rainy
2026-08-14,Friday,0,0,,Rainy
2026-08-15,Saturday,1,0,Independence_Day_Weekend,Rainy
2026-08-16,Sunday,1,0,Independence_Day_Weekend,Rainy
2026-08-17,Monday,0,0,Independence_Day_Weekend,Rainy
2026-08-18,Tuesday,0,0,,Rainy
2026-08-19,Wednesday,0,0,,Rainy
2026-08-20,Thursday,0,0,,Rainy
2026-08-21,Friday,0,0,,Rainy
2026-08-22,Saturday,1,0,,Rainy
2026-08-23,Sunday,1,0,,Rainy
2026-08-24,Monday,0,0,,Rainy
2026-08-25,Tuesday,0,0,,Rainy
2026-08-26,Wednesday,0,0,,Rainy
2026-08-27,Thursday,0,0,,Rainy
2026-08-28,Friday,0,1,,Rainy
2026-08-29,Saturday,1,1,,Rainy
2026-08-30,Sunday,1,1,,Rainy
2026-08-31,Monday,0,1,,Rainy
2026-09-01,Tuesday,0,1,,Rainy
2026-09-02,Wednesday,0,1,,Rainy
2026-09-03,Thursday,0,1,,Rainy
2026-09-04,Friday,0,0,,Rainy
2026-09-05,Saturday,1,0,,Rainy
2026-09-06,Sunday,1,0,,Rainy
2026-09-07,Monday,0,0,,Rainy
2026-09-08,Tuesday,0,0,,Rainy
2026-09-09,Wednesday,0,0,,Rainy
2026-09-10,Thursday,0,0,,Rainy
2026-09-11,Friday,0,0,,Rainy
2026-09-12,Saturday,1,0,,Rainy
2026-09-13,Sunday,1,0,,Rainy
2026-09-14,Monday,0,0,,Rainy
2026-09-15,Tuesday,0,0,,Rainy
2026-09-16,Wednesday,0,0,,Rainy
2026-09-17,Thursday,0,0,,Rainy
2026-09-18,Friday,0,0,,Rainy
2026-09-19,Saturday,1,0,,Rainy
2026-09-20,Sunday,1,0,,Rainy
2026-09-21,Monday,0,0,,Rainy
2026-09-22,Tuesday,0,0,,Rainy
2026-09-23,Wednesday,0,0,,Rainy
2026-09-24,Thursday,0,0,,Rainy
2026-09-25,Friday,0,0,,Rainy
2026-09-26,Saturday,1,0,,Rainy
2026-09-27,Sunday,1,0,,Rainy
2026-09-28,Monday,0,1,,Rainy
2026-09-29,Tuesday,0,1,,Rainy
2026-09-30,Wednesday,0,1,,Rainy
2026-10-01,Thursday,0,1,,Normal
2026-10-02,Friday,0,1,,Normal
2026-10-03,Saturday,1,1,,Normal
2026-10-04,Sunday,1,0,,Normal
2026-10-05,Monday,0,0,,Normal
2026-10-06,Tuesday,0,0,,Normal
2026-10-07,Wednesday,0,0,,Normal
2026-10-08,Thursday,0,0,,Normal
2026-10-09,Friday,0,0,,Normal
2026-10-10,Saturday,1,0,,Normal
2026-10-11,Sunday,1,0,,Normal
2026-10-12,Monday,0,0,,Normal
2026-10-13,Tuesday,0,0,,Normal
2026-10-14,Wednesday,0,0,,Normal
2026-10-15,Thursday,0,0,,Normal
2026-10-16,Friday,0,0,,Normal
2026-10-17,Saturday,1,0,,Normal
2026-10-18,Sunday,1,0,,Normal
2026-10-19,Monday,0,0,,Normal
2026-10-20,Tuesday,0,0,Diwali,Normal
2026-10-21,Wednesday,0,0,Diwali,Normal
2026-10-22,Thursday,0,0,Diwali,Normal
2026-10-23,Friday,0,0,Diwali,Normal
2026-10-24,Saturday,1,0,Diwali,Normal
2026-10-25,Sunday,1,0,Diwali,Normal
2026-10-26,Monday,0,0,,Normal
2026-10-27,Tuesday,0,0,,Normal
2026-10-28,Wednesday,0,1,,Normal
2026-10-29,Thursday,0,1,,Normal
2026-10-30,Friday,0,1,,Normal
2026-10-31,Saturday,1,1,,Normal
2026-11-01,Sunday,1,1,Deepavali_Weekend,Cool
2026-11-02,Monday,0,1,Deepavali_Weekend,Cool
2026-11-03,Tuesday,0,1,Deepavali_Weekend,Cool
2026-11-04,Wednesday,0,0,,Cool
2026-11-05,Thursday,0,0,,Cool
2026-11-06,Friday,0,0,,Cool
2026-11-07,Saturday,1,0,,Cool
2026-11-08,Sunday,1,0,,Cool
2026-11-09,Monday,0,0,,Cool
2026-11-10,Tuesday,0,0,,Cool
2026-11-11,Wednesday,0,0,,Cool
2026-11-12,Thursday,0,0,,Cool
2026-11-13,Friday,0,0,,Cool
2026-11-14,Saturday,1,0,,Cool
2026-11-15,Sunday,1,0,,Cool
2026-11-16,Monday,0,0,,Cool
2026-11-17,Tuesday,0,0,,Cool
2026-11-18,Wednesday,0,0,,Cool
2026-11-19,Thursday,0,0,,Cool
2026-11-20,Friday,0,0,,Cool
2026-11-21,Saturday,1,0,,Cool
2026-11-22,Sunday,1,0,,Cool
2026-11-23,Monday,0,0,,Cool
2026-11-24,Tuesday,0,0,,Cool
2026-11-25,Wednesday,0,0,,Cool
2026-11-26,Thursday,0,0,,Cool
2026-11-27,Friday,0,0,,Cool
2026-11-28,Saturday,1,1,,Cool
2026-11-29,Sunday,1,1,,Cool
2026-11-30,Monday,0,1,,Cool
2026-12-01,Tuesday,0,1,,Cool
2026-12-02,Wednesday,0,1,,Cool
2026-12-03,Thursday,0,1,,Cool
2026-12-04,Friday,0,0,,Cool
2026-12-05,Saturday,1,0,,Cool
2026-12-06,Sunday,1,0,,Cool
2026-12-07,Monday,0,0,,Cool
2026-12-08,Tuesday,0,0,,Cool
2026-12-09,Wednesday,0,0,,Cool
2026-12-10,Thursday,0,0,,Cool
2026-12-11,Friday,0,0,,Cool
2026-12-12,Saturday,1,0,,Cool
2026-12-13,Sunday,1,0,,Cool
2026-12-14,Monday,0,0,,Cool
2026-12-15,Tuesday,0,0,,Cool
2026-12-16,Wednesday,0,0,,Cool
2026-12-17,Thursday,0,0,,Cool
2026-12-18,Friday,0,0,,Cool
2026-12-19,Saturday,1,0,,Cool
2026-12-20,Sunday,1,0,,Cool
2026-12-21,Monday,0,0,,Cool
2026-12-22,Tuesday,0,0,,Cool
2026-12-23,Wednesday,0,0,,Cool
2026-12-24,Thursday,0,0,,Cool
2026-12-25,Friday,0,0,,Cool
2026-12-26,Saturday,1,0,,Cool
2026-12-27,Sunday,1,0,,Cool
2026-12-28,Monday,0,1,,Cool
2026-12-29,Tuesday,0,1,,Cool
2026-12-30,Wednesday,0,1,,Cool
2026-12-31,Thursday,0,1,,Cool
2027-01-01,Friday,0,1,Public_Holiday,Cool
2027-01-02,Saturday,1,1,,Cool
2027-01-03,Sunday,1,1,,Cool
2027-01-04,Monday,0,0,,Cool
2027-01-05,Tuesday,0,0,,Cool
2027-01-06,Wednesday,0,0,,Cool
2027-01-07,Thursday,0,0,,Cool
2027-01-08,Friday,0,0,,Cool
2027-01-09,Saturday,1,0,,Cool
2027-01-10,Sunday,1,0,,Cool
2027-01-11,Monday,0,0,,Cool
2027-01-12,Tuesday,0,0,,Cool
2027-01-13,Wednesday,0,0,Pongal,Cool
2027-01-14,Thursday,0,0,Pongal,Cool
2027-01-15,Friday,0,0,Pongal,Cool
2027-01-16,Saturday,1,0,Pongal,Cool
2027-01-17,Sunday,1,0,,Cool
2027-01-18,Monday,0,0,,Cool
2027-01-19,Tuesday,0,0,,Cool
2027-01-20,Wednesday,0,0,,Cool
2027-01-21,Thursday,0,0,,Cool
2027-01-22,Friday,0,0,,Cool
2027-01-23,Saturday,1,0,,Cool
2027-01-24,Sunday,1,0,,Cool
2027-01-25,Monday,0,0,,Cool
2027-01-26,Tuesday,0,0,Public_Holiday,Cool
2027-01-27,Wednesday,0,0,,Cool
2027-01-28,Thursday,0,1,,Cool
2027-01-29,Friday,0,1,,Cool
2027-01-30,Saturday,1,1,,Cool
2027-01-31,Sunday,1,1,,Cool
2027-02-01,Monday,0,1,,Cool
2027-02-02,Tuesday,0,1,,Cool
2027-02-03,Wednesday,0,1,,Cool
2027-02-04,Thursday,0,0,,Cool
2027-02-05,Friday,0,0,,Cool
2027-02-06,Saturday,1,0,,Cool
2027-02-07,Sunday,1,0,,Cool
2027-02-08,Monday,0,0,,Cool
2027-02-09,Tuesday,0,0,,Cool
2027-02-10,Wednesday,0,0,,Cool
2027-02-11,Thursday,0,0,,Cool
2027-02-12,Friday,0,0,,Cool
2027-02-13,Saturday,1,0,,Cool
2027-02-14,Sunday,1,0,,Cool
2027-02-15,Monday,0,0,,Cool
2027-02-16,Tuesday,0,0,,Cool
2027-02-17,Wednesday,0,0,,Cool
2027-02-18,Thursday,0,0,,Cool
2027-02-19,Friday,0,0,,Cool
2027-02-20,Saturday,1,0,,Cool
2027-02-21,Sunday,1,0,,Cool
2027-02-22,Monday,0,0,,Cool
2027-02-23,Tuesday,0,0,,Cool
2027-02-24,Wednesday,0,0,,Cool
2027-02-25,Thursday,0,0,,Cool
2027-02-26,Friday,0,0,,Cool
2027-02-27,Saturday,1,0,,Cool
2027-02-28,Sunday,1,1,,Cool
2027-03-01,Monday,0,1,,Hot
2027-03-02,Tuesday,0,1,,Hot
2027-03-03,Wednesday,0,1,,Hot
2027-03-04,Thursday,0,0,,Hot
2027-03-05,Friday,0,0,,Hot
2027-03-06,Saturday,1,0,,Hot
2027-03-07,Sunday,1,0,,Hot
2027-03-08,Monday,0,0,,Hot
2027-03-09,Tuesday,0,0,,Hot
2027-03-10,Wednesday,0,0,,Hot
2027-03-11,Thursday,0,0,,Hot
2027-03-12,Friday,0,0,,Hot
2027-03-13,Saturday,1,0,,Hot
2027-03-14,Sunday,1,0,,Hot
2027-03-15,Monday,0,0,,Hot
2027-03-16,Tuesday,0,0,,Hot
2027-03-17,Wednesday,0,0,,Hot
2027-03-18,Thursday,0,0,,Hot
2027-03-19,Friday,0,0,,Hot
2027-03-20,Saturday,1,0,,Hot
2027-03-21,Sunday,1,0,,Hot
2027-03-22,Monday,0,0,,Hot
2027-03-23,Tuesday,0,0,,Hot
2027-03-24,Wednesday,0,0,,Hot
2027-03-25,Thursday,0,0,,Hot
2027-03-26,Friday,0,0,,Hot
2027-03-27,Saturday,1,0,,Hot
2027-03-28,Sunday,1,1,,Hot
2027-03-29,Monday,0,1,,Hot
2027-03-30,Tuesday,0,1,,Hot
2027-03-31,Wednesday,0,1,,Hot
2027-04-01,Thursday,0,1,,Hot
2027-04-02,Friday,0,1,,Hot
2027-04-03,Saturday,1,1,Local_Market,Hot
2027-04-04,Sunday,1,0,Local_Market,Hot
2027-04-05,Monday,0,0,,Hot
2027-04-06,Tuesday,0,0,,Hot
2027-04-07,Wednesday,0,0,,Hot
2027-04-08,Thursday,0,0,,Hot
2027-04-09,Friday,0,0,,Hot
2027-04-10,Saturday,1,0,Local_Market,Hot
2027-04-11,Sunday,1,0,Local_Market,Hot
2027-04-12,Monday,0,0,,Hot
2027-04-13,Tuesday,0,0,,Hot
2027-04-14,Wednesday,0,0,,Hot
2027-04-15,Thursday,0,0,,Hot
2027-04-16,Friday,0,0,,Hot
2027-04-17,Saturday,1,0,Local_Market,Hot
2027-04-18,Sunday,1,0,Local_Market,Hot
2027-04-19,Monday,0,0,,Hot
2027-04-20,Tuesday,0,0,,Hot
2027-04-21,Wednesday,0,0,,Hot
2027-04-22,Thursday,0,0,,Hot
2027-04-23,Friday,0,0,,Hot
2027-04-24,Saturday,1,0,Local_Market,Hot
2027-04-25,Sunday,1,0,Local_Market,Hot
2027-04-26,Monday,0,0,,Hot
2027-04-27,Tuesday,0,0,,Hot
2027-04-28,Wednesday,0,1,,Hot
2027-04-29,Thursday,0,1,,Hot
2027-04-30,Friday,0,1,,Hot
2027-05-01,Saturday,1,1,Local_Market,Hot
2027-05-02,Sunday,1,1,Local_Market,Hot
2027-05-03,Monday,0,1,,Hot
2027-05-04,Tuesday,0,0,,Hot
2027-05-05,Wednesday,0,0,,Hot
2027-05-06,Thursday,0,0,,Hot
2027-05-07,Friday,0,0,,Hot
2027-05-08,Saturday,1,0,Local_Market,Hot
2027-05-09,Sunday,1,0,Local_Market,Hot
2027-05-10,Monday,0,0,,Hot
2027-05-11,Tuesday,0,0,,Hot
2027-05-12,Wednesday,0,0,,Hot
2027-05-13,Thursday,0,0,,Hot
2027-05-14,Friday,0,0,,Hot
2027-05-15,Saturday,1,0,Local_Market,Hot
2027-05-16,Sunday,1,0,Local_Market,Hot
2027-05-17,Monday,0,0,,Hot
2027-05-18,Tuesday,0,0,,Hot
2027-05-19,Wednesday,0,0,,Hot
2027-05-20,Thursday,0,0,,Hot
2027-05-21,Friday,0,0,,Hot
2027-05-22,Saturday,1,0,Local_Market,Hot
2027-05-23,Sunday,1,0,Local_Market,Hot
2027-05-24,Monday,0,0,,Hot
2027-05-25,Tuesday,0,0,,Hot
2027-05-26,Wednesday,0,0,,Hot
2027-05-27,Thursday,0,0,,Hot
2027-05-28,Friday,0,1,,Hot
2027-05-29,Saturday,1,1,Local_Market,Hot
2027-05-30,Sunday,1,1,Local_Market,Hot
2027-05-31,Monday,0,1,,Hot
2027-06-01,Tuesday,0,1,,Hot
2027-06-02,Wednesday,0,1,,Hot
2027-06-03,Thursday,0,1,,Hot
2027-06-04,Friday,0,0,,Hot
2027-06-05,Saturday,1,0,,Hot
2027-06-06,Sunday,1,0,,Hot
2027-06-07,Monday,0,0,,Hot
2027-06-08,Tuesday,0,0,,Hot
2027-06-09,Wednesday,0,0,,Hot
2027-06-10,Thursday,0,0,,Hot
2027-06-11,Friday,0,0,,Hot
2027-06-12,Saturday,1,0,,Hot
2027-06-13,Sunday,1,0,,Hot
2027-06-14,Monday,0,0,,Hot
2027-06-15,Tuesday,0,0,,Hot
2027-06-16,Wednesday,0,0,,Hot
2027-06-17,Thursday,0,0,,Hot
2027-06-18,Friday,0,0,,Hot
2027-06-19,Saturday,1,0,,Hot
2027-06-20,Sunday,1,0,,Hot
2027-06-21,Monday,0,0,,Hot
2027-06-22,Tuesday,0,0,,Hot
2027-06-23,Wednesday,0,0,,Hot
2027-06-24,Thursday,0,0,,Hot
2027-06-25,Friday,0,0,,Hot
2027-06-26,Saturday,1,0,,Hot
2027-06-27,Sunday,1,0,,Hot
2027-06-28,Monday,0,1,,Hot
2027-06-29,Tuesday,0,1,,Hot
2027-06-30,Wednesday,0,1,,Hot
2027-07-01,Thursday,0,1,,Rainy
2027-07-02,Friday,0,1,,Rainy
2027-07-03,Saturday,1,1,,Rainy
2027-07-04,Sunday,1,0,,Rainy
2027-07-05,Monday,0,0,,Rainy
2027-07-06,Tuesday,0,0,,Rainy
2027-07-07,Wednesday,0,0,,Rainy
2027-07-08,Thursday,0,0,,Rainy
2027-07-09,Friday,0,0,,Rainy
2027-07-10,Saturday,1,0,,Rainy
2027-07-11,Sunday,1,0,,Rainy
2027-07-12,Monday,0,0,,Rainy
2027-07-13,Tuesday,0,0,,Rainy
2027-07-14,Wednesday,0,0,,Rainy
2027-07-15,Thursday,0,0,,Rainy
2027-07-16,Friday,0,0,,Rainy
2027-07-17,Saturday,1,0,,Rainy
2027-07-18,Sunday,1,0,,Rainy
2027-07-19,Monday,0,0,,Rainy
2027-07-20,Tuesday,0,0,,Rainy
2027-07-21,Wednesday,0,0,,Rainy
2027-07-22,Thursday,0,0,,Rainy
2027-07-23,Friday,0,0,,Rainy
2027-07-24,Saturday,1,0,,Rainy
2027-07-25,Sunday,1,0,,Rainy
2027-07-26,Monday,0,0,,Rainy
2027-07-27,Tuesday,0,0,,Rainy
2027-07-28,Wednesday,0,1,,Rainy
2027-07-29,Thursday,0,1,,Rainy
2027-07-30,Friday,0,1,,Rainy
2027-07-31,Saturday,1,1,,Rainy
2027-08-01,Sunday,1,1,,Rainy
2027-08-02,Monday,0,1,,Rainy
2027-08-03,Tuesday,0,1,,Rainy
2027-08-04,Wednesday,0,0,,Rainy
2027-08-05,Thursday,0,0,,Rainy
2027-08-06,Friday,0,0,,Rainy
2027-08-07,Saturday,1,0,,Rainy
2027-08-08,Sunday,1,0,,Rainy
2027-08-09,Monday,0,0,,Rainy
2027-08-10,Tuesday,0,0,,Rainy
2027-08-11,Wednesday,0,0,,Rainy
2027-08-12,Thursday,0,0,,Rainy
2027-08-13,Friday,0,0,,Rainy
2027-08-14,Saturday,1,0,,Rainy
2027-08-15,Sunday,1,0,Independence_Day_Weekend,Rainy
2027-08-16,Monday,0,0,Independence_Day_Weekend,Rainy
2027-08-17,Tuesday,0,0,Independence_Day_Weekend,Rainy
2027-08-18,Wednesday,0,0,,Rainy
2027-08-19,Thursday,0,0,,Rainy
2027-08-20,Friday,0,0,,Rainy
2027-08-21,Saturday,1,0,,Rainy
2027-08-22,Sunday,1,0,,Rainy
2027-08-23,Monday,0,0,,Rainy
2027-08-24,Tuesday,0,0,,Rainy
2027-08-25,Wednesday,0,0,,Rainy
2027-08-26,Thursday,0,0,,Rainy
2027-08-27,Friday,0,0,,Rainy
2027-08-28,Saturday,1,1,,Rainy
2027-08-29,Sunday,1,1,,Rainy
2027-08-30,Monday,0,1,,Rainy
2027-08-31,Tuesday,0,1,,Rainy
2027-09-01,Wednesday,0,1,,Rainy
2027-09-02,Thursday,0,1,,Rainy
2027-09-03,Friday,0,1,,Rainy
2027-09-04,Saturday,1,0,,Rainy
2027-09-05,Sunday,1,0,,Rainy
2027-09-06,Monday,0,0,,Rainy
2027-09-07,Tuesday,0,0,,Rainy
2027-09-08,Wednesday,0,0,,Rainy
2027-09-09,Thursday,0,0,,Rainy
2027-09-10,Friday,0,0,,Rainy
2027-09-11,Saturday,1,0,,Rainy
2027-09-12,Sunday,1,0,,Rainy
2027-09-13,Monday,0,0,,Rainy
2027-09-14,Tuesday,0,0,,Rainy
2027-09-15,Wednesday,0,0,,Rainy
2027-09-16,Thursday,0,0,,Rainy
2027-09-17,Friday,0,0,,Rainy
2027-09-18,Saturday,1,0,,Rainy
2027-09-19,Sunday,1,0,,Rainy
2027-09-20,Monday,0,0,,Rainy
2027-09-21,Tuesday,0,0,,Rainy
2027-09-22,Wednesday,0,0,,Rainy
2027-09-23,Thursday,0,0,,Rainy
2027-09-24,Friday,0,0,,Rainy
2027-09-25,Saturday,1,0,,Rainy
2027-09-26,Sunday,1,0,,Rainy
2027-09-27,Monday,0,0,,Rainy
2027-09-28,Tuesday,0,1,,Rainy
2027-09-29,Wednesday,0,1,,Rainy
2027-09-30,Thursday,0,1,,Rainy
