product_id,baseline_demand,weekend_factor,weekday_factors,event_multipliers,category_fallback_used,history_days_available,fast_or_slow_mover_label,data_quality_flag
P11,16.0,1.1145,"{""Monday"": 0.9334, ""Tuesday"": 0.969, ""Wednesday"": 0.9454, ""Thursday"": 0.9727, ""Friday"": 1.0305, ""Saturday"": 1.1289, ""Sunday"": 1.1}","{""event_Deepavali_Weekend"": 2.1688, ""event_Diwali"": 2.0672, ""event_Independence_Day_Weekend"": 1.4957, ""event_Local_Market"": 1.1467, ""event_Pongal"": 1.2276, ""event_Public_Holiday"": 0.8121, ""promo"": 1.4233, ""weather_Cool"": 1.0031, ""weather_Hot"": 1.0098, ""weather_Rainy"": 1.1011}",no,730,fast_mover,NORMAL
P12,17.0,1.1446,"{""Monday"": 0.9222, ""Tuesday"": 0.9333, ""Wednesday"": 0.9548, ""Thursday"": 0.9705, ""Friday"": 1.0338, ""Saturday"": 1.1808, ""Sunday"": 1.1084}","{""event_Deepavali_Weekend"": 2.0764, ""event_Diwali"": 2.0686, ""event_Independence_Day_Weekend"": 1.4057, ""event_Local_Market"": 1.0888, ""event_Pongal"": 1.279, ""event_Public_Holiday"": 0.7321, ""promo"": 1.4192, ""weather_Cool"": 0.9485, ""weather_Hot"": 1.0049, ""weather_Rainy"": 1.078}",no,730,fast_mover,NORMAL
P13,23.0,1.1478,"{""Monday"": 0.8786, ""Tuesday"": 0.9487, ""Wednesday"": 0.9563, ""Thursday"": 0.9876, ""Friday"": 1.0342, ""Saturday"": 1.1655, ""Sunday"": 1.1301}","{""event_Deepavali_Weekend"": 2.2065, ""event_Diwali"": 2.1205, ""event_Independence_Day_Weekend"": 1.5257, ""event_Local_Market"": 1.17, ""event_Pongal"": 1.1871, ""event_Public_Holiday"": 0.6961, ""promo"": 1.4219, ""weather_Cool"": 0.9918, ""weather_Hot"": 1.0286, ""weather_Rainy"": 1.0691}",no,730,fast_mover,NORMAL
P14,66.0,1.1244,"{""Monday"": 0.9153, ""Tuesday"": 0.9382, ""Wednesday"": 0.9467, ""Thursday"": 1.0066, ""Friday"": 1.0313, ""Saturday"": 1.1453, ""Sunday"": 1.1035}","{""event_Deepavali_Weekend"": 2.0212, ""event_Diwali"": 2.1048, ""event_Independence_Day_Weekend"": 1.43, ""event_Local_Market"": 1.137, ""event_Pongal"": 1.1172, ""event_Public_Holiday"": 0.7007, ""promo"": 1.4204, ""weather_Cool"": 0.975, ""weather_Hot"": 1.0143, ""weather_Rainy"": 1.0746}",no,730,slow_mover,NORMAL
P15,36.0,1.0841,"{""Monday"": 0.9221, ""Tuesday"": 0.9661, ""Wednesday"": 0.9474, ""Thursday"": 0.9892, ""Friday"": 1.0765, ""Saturday"": 1.0854, ""Sunday"": 1.0828}","{""event_Deepavali_Weekend"": 2.0378, ""event_Diwali"": 1.9525, ""event_Independence_Day_Weekend"": 1.1885, ""event_Local_Market"": 1.2939, ""event_Pongal"": 1.0364, ""event_Public_Holiday"": 0.629, ""promo"": 1.3261, ""weather_Cool"": 0.9361, ""weather_Hot"": 1.174, ""weather_Rainy"": 0.9062}",no,730,slow_mover,NORMAL
P16,46.0,1.1393,"{""Monday"": 0.9071, ""Tuesday"": 0.9161, ""Wednesday"": 1.0007, ""Thursday"": 0.9805, ""Friday"": 1.0107, ""Saturday"": 1.1731, ""Sunday"": 1.1055}","{""event_Deepavali_Weekend"": 2.1095, ""event_Diwali"": 2.1476, ""event_Independence_Day_Weekend"": 1.3961, ""event_Local_Market"": 1.1079, ""event_Pongal"": 1.1524, ""event_Public_Holiday"": 0.781, ""promo"": 1.4381, ""weather_Cool"": 0.9793, ""weather_Hot"": 1.0277, ""weather_Rainy"": 1.0985}",no,730,slow_mover,NORMAL
P17,14.0,1.1635,"{""Monday"": 0.9016, ""Tuesday"": 0.9416, ""Wednesday"": 0.9711, ""Thursday"": 0.9404, ""Friday"": 1.0322, ""Saturday"": 1.1952, ""Sunday"": 1.1318}","{""event_Deepavali_Weekend"": 2.1458, ""event_Diwali"": 2.1517, ""event_Independence_Day_Weekend"": 1.6382, ""event_Local_Market"": 1.2245, ""event_Pongal"": 1.1794, ""event_Public_Holiday"": 0.7462, ""promo"": 1.4806, ""weather_Cool"": 1.0344, ""weather_Hot"": 1.0686, ""weather_Rainy"": 1.1607}",no,730,slow_mover,NORMAL
P18,51.0,1.1132,"{""Monday"": 0.8999, ""Tuesday"": 0.9576, ""Wednesday"": 0.971, ""Thursday"": 0.9979, ""Friday"": 1.0241, ""Saturday"": 1.1285, ""Sunday"": 1.098}","{""event_Deepavali_Weekend"": 1.9842, ""event_Diwali"": 2.1511, ""event_Independence_Day_Weekend"": 1.374, ""event_Local_Market"": 1.1241, ""event_Pongal"": 1.205, ""event_Public_Holiday"": 0.8341, ""promo"": 1.4612, ""weather_Cool"": 0.9865, ""weather_Hot"": 1.0339, ""weather_Rainy"": 1.0738}",no,730,fast_mover,NORMAL
P19,44.0,1.1,"{""Monday"": 0.9238, ""Tuesday"": 0.9418, ""Wednesday"": 0.9575, ""Thursday"": 0.9919, ""Friday"": 1.0655, ""Saturday"": 1.1191, ""Sunday"": 1.0809}","{""event_Deepavali_Weekend"": 2.0549, ""event_Diwali"": 1.8377, ""event_Independence_Day_Weekend"": 1.4086, ""event_Local_Market"": 1.3662, ""event_Pongal"": 1.1174, ""event_Public_Holiday"": 0.7316, ""promo"": 1.3743, ""weather_Cool"": 0.939, ""weather_Hot"": 1.1947, ""weather_Rainy"": 0.9431}",no,730,fast_mover,NORMAL
P20,18.0,1.1352,"{""Monday"": 0.8957, ""Tuesday"": 0.9257, ""Wednesday"": 0.9524, ""Thursday"": 0.9961, ""Friday"": 1.0629, ""Saturday"": 1.1644, ""Sunday"": 1.106}","{""event_Deepavali_Weekend"": 2.2819, ""event_Diwali"": 2.0555, ""event_Independence_Day_Weekend"": 1.5623, ""event_Local_Market"": 1.1036, ""event_Pongal"": 1.1866, ""event_Public_Holiday"": 0.9652, ""promo"": 1.3862, ""weather_Cool"": 0.9681, ""weather_Hot"": 0.9998, ""weather_Rainy"": 1.0768}",no,730,fast_mover,NORMAL
P21,7.0,1.1149,"{""Monday"": 0.987, ""Tuesday"": 0.9293, ""Wednesday"": 0.9906, ""Thursday"": 0.9161, ""Friday"": 1.038, ""Saturday"": 1.1259, ""Sunday"": 1.1038}","{""event_Deepavali_Weekend"": 1.544, ""event_Diwali"": 2.2857, ""event_Independence_Day_Weekend"": 1.7855, ""event_Local_Market"": 0.9388, ""event_Pongal"": 1.4209, ""event_Public_Holiday"": 1.1412, ""promo"": 1.5351, ""weather_Cool"": 1.1289, ""weather_Hot"": 0.9777, ""weather_Rainy"": 1.2204}",no,657,fast_mover,NORMAL
P22,34.0,1.0815,"{""Monday"": 0.9364, ""Tuesday"": 0.9291, ""Wednesday"": 0.9959, ""Thursday"": 0.9942, ""Friday"": 1.0347, ""Saturday"": 1.0891, ""Sunday"": 1.0738}","{""event_Deepavali_Weekend"": 1.9309, ""event_Diwali"": 2.1485, ""event_Independence_Day_Weekend"": 1.1946, ""event_Local_Market"": 1.4867, ""event_Pongal"": 1.4018, ""event_Public_Holiday"": 0.8996, ""promo"": 1.4152, ""weather_Cool"": 1.0946, ""weather_Hot"": 1.2276, ""weather_Rainy"": 0.8724}",no,560,slow_mover,NORMAL
P23,46.0,1.0922,"{""Monday"": 0.9286, ""Tuesday"": 0.9434, ""Wednesday"": 0.9548, ""Thursday"": 0.9993, ""Friday"": 1.0624, ""Saturday"": 1.1291, ""Sunday"": 1.0553}","{""event_Deepavali_Weekend"": 1.7511, ""event_Diwali"": 1.7638, ""event_Independence_Day_Weekend"": 1.6558, ""event_Local_Market"": 1.1783, ""event_Pongal"": 1.5262, ""event_Public_Holiday"": 0.8893, ""promo"": 1.3793, ""weather_Cool"": 1.0622, ""weather_Hot"": 1.0624, ""weather_Rainy"": 1.0172}",no,478,slow_mover,NORMAL
P24,19.0,1.1,"{""Monday"": 0.8839, ""Tuesday"": 1.02, ""Wednesday"": 0.9665, ""Thursday"": 1.0071, ""Friday"": 0.9897, ""Saturday"": 1.1212, ""Sunday"": 1.0788}","{""event_Deepavali_Weekend"": 2.2175, ""event_Diwali"": 2.2609, ""event_Independence_Day_Weekend"": 1.285, ""event_Local_Market"": 1.1671, ""promo"": 1.5176, ""weather_Cool"": 1.0043, ""weather_Hot"": 0.9424, ""weather_Rainy"": 1.1207}",no,330,slow_mover,NORMAL
P25,37.0,1.1572,"{""Monday"": 0.9129, ""Tuesday"": 0.9247, ""Wednesday"": 0.895, ""Thursday"": 0.9669, ""Friday"": 1.0663, ""Saturday"": 1.1436, ""Sunday"": 1.1707}","{""event_Deepavali_Weekend"": 2.2771, ""event_Diwali"": 2.4676, ""event_Independence_Day_Weekend"": 1.2456, ""event_Local_Market"": 0.6891, ""promo"": 1.556, ""weather_Cool"": 1.2107, ""weather_Hot"": 0.7849, ""weather_Rainy"": 0.9671}",no,228,fast_mover,NORMAL
P26,49.0,1.1167,"{""Monday"": 0.8712, ""Tuesday"": 0.9354, ""Wednesday"": 0.9684, ""Thursday"": 0.9965, ""Friday"": 1.0037, ""Saturday"": 1.0897, ""Sunday"": 1.1437}","{""event_Deepavali_Weekend"": 1.954, ""event_Diwali"": 1.9493, ""event_Independence_Day_Weekend"": 0.708, ""promo"": 1.4493, ""weather_Cool"": 1.2866, ""weather_Rainy"": 0.7071}",no,142,fast_mover,NORMAL
P27,46.0,1.1649,"{""Monday"": 0.8225, ""Tuesday"": 0.9227, ""Wednesday"": 0.9206, ""Thursday"": 0.9191, ""Friday"": 1.1789, ""Saturday"": 1.2107, ""Sunday"": 1.119}","{""event_Deepavali_Weekend"": 1.6948, ""event_Diwali"": 1.6025, ""promo"": 1.2093, ""weather_Cool"": 1.103}",no,92,slow_mover,NORMAL
P28,5.0,,"{""Monday"": 1.0, ""Tuesday"": 1.0, ""Wednesday"": 1.0, ""Thursday"": 1.0, ""Friday"": 1.0, ""Saturday"": 1.0, ""Sunday"": 1.0}",,True,0,slow_mover (provisional),Green
P29,5.0,,"{""Monday"": 1.0, ""Tuesday"": 1.0, ""Wednesday"": 1.0, ""Thursday"": 1.0, ""Friday"": 1.0, ""Saturday"": 1.0, ""Sunday"": 1.0}",,True,0,slow_mover (provisional),Green
P30,5.0,,"{""Monday"": 1.0, ""Tuesday"": 1.0, ""Wednesday"": 1.0, ""Thursday"": 1.0, ""Friday"": 1.0, ""Saturday"": 1.0, ""Sunday"": 1.0}",,True,0,slow_mover (provisional),Green
P31,5.0,,"{""Monday"": 1.0, ""Tuesday"": 1.0, ""Wednesday"": 1.0, ""Thursday"": 1.0, ""Friday"": 1.0, ""Saturday"": 1.0, ""Sunday"": 1.0}",,True,0,slow_mover (provisional),Green
P32,5.0,,"{""Monday"": 1.0, ""Tuesday"": 1.0, ""Wednesday"": 1.0, ""Thursday"": 1.0, ""Friday"": 1.0, ""Saturday"": 1.0, ""Sunday"": 1.0}",,True,0,slow_mover (provisional),Green
