product_id,date,predicted_demand,baseline_used,day_factor_used,event_multiplier_used,confidence_score,confidence_reason
P03,2028-01-11,33.4014,36.0,0.969,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-12,33.7461,36.0,0.979,0.9575,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-13,39.745,36.0,0.9871,1.1185,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P03,2028-01-14,42.3823,36.0,1.0526,1.1185,0.95,"High confidence: sufficient history (730 days), though dampened by gaps in history."
P04,2028-01-01,39.6087,51.0,1.1456,0.6779,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-02,53.7374,51.0,1.0945,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-03,44.7722,51.0,0.9119,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-04,46.2697,51.0,0.9424,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-05,47.8163,51.0,0.9739,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-06,48.5233,51.0,0.9883,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-07,50.4724,51.0,1.028,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-08,56.2463,51.0,1.1456,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-09,53.7374,51.0,1.0945,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-10,44.7722,51.0,0.9119,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-11,46.2697,51.0,0.9424,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-12,47.8163,51.0,0.9739,0.9627,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-13,55.991,51.0,0.9883,1.1109,1.0,"High confidence: long, clean history with 730 days of observations."
P04,2028-01-14,58.2401,51.0,1.028,1.1109,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-01,49.3632,54.0,1.1217,0.815,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-02,58.521,54.0,1.1028,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-03,48.3695,54.0,0.9115,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-04,49.919,54.0,0.9407,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-05,51.3412,54.0,0.9675,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-06,52.2061,54.0,0.9838,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-07,55.9791,54.0,1.0549,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-08,59.5239,54.0,1.1217,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-09,58.521,54.0,1.1028,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-10,48.3695,54.0,0.9115,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-11,49.919,54.0,0.9407,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-12,51.3412,54.0,0.9675,0.9827,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-13,62.1305,54.0,0.9838,1.1695,1.0,"High confidence: long, clean history with 730 days of observations."
P05,2028-01-14,66.6207,54.0,1.0549,1.1695,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-01,49.874,59.0,1.1574,0.7304,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-02,60.9209,59.0,1.0828,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-03,51.8458,59.0,0.9215,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-04,52.9879,59.0,0.9418,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-05,52.9879,59.0,0.9418,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-06,57.5958,59.0,1.0237,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-07,57.1007,59.0,1.0149,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-08,65.1181,59.0,1.1574,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-09,60.9209,59.0,1.0828,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-10,51.8458,59.0,0.9215,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-11,52.9879,59.0,0.9418,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-12,52.9879,59.0,0.9418,0.9536,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-13,62.4742,59.0,1.0237,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P06,2028-01-14,61.9371,59.0,1.0149,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-01,26.4223,33.0,1.1202,0.7148,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-02,33.6502,33.0,1.0841,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-03,28.5939,33.0,0.9212,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-04,29.4257,33.0,0.948,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-05,29.5685,33.0,0.9526,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-06,30.8939,33.0,0.9953,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-07,32.8494,33.0,1.0583,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-08,34.7708,33.0,1.1202,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-09,33.6502,33.0,1.0841,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-10,28.5939,33.0,0.9212,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-11,29.4257,33.0,0.948,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-12,29.5685,33.0,0.9526,0.9406,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-13,33.8103,33.0,0.9953,1.0294,1.0,"High confidence: long, clean history with 730 days of observations."
P07,2028-01-14,35.9504,33.0,1.0583,1.0294,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-01,26.6881,42.0,1.1902,0.5339,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-02,44.7923,42.0,1.0753,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-03,38.0815,42.0,0.9142,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-04,37.6817,42.0,0.9046,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-05,40.4892,42.0,0.972,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-06,40.4851,42.0,0.9719,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-07,45.2546,42.0,1.0864,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-08,49.5785,42.0,1.1902,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-09,44.7923,42.0,1.0753,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-10,38.0815,42.0,0.9142,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-11,37.6817,42.0,0.9046,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-12,40.4892,42.0,0.972,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-13,48.4363,42.0,0.9719,1.1866,1.0,"High confidence: long, clean history with 730 days of observations."
P08,2028-01-14,54.1427,42.0,1.0864,1.1866,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-01,28.2649,37.0,1.1045,0.6916,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-02,36.2314,37.0,1.0518,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-03,31.8221,37.0,0.9238,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-04,33.7891,37.0,0.9809,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-05,34.3816,37.0,0.9981,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-06,33.4205,37.0,0.9702,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-07,35.5424,37.0,1.0318,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-08,38.0467,37.0,1.1045,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-09,36.2314,37.0,1.0518,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-10,31.8221,37.0,0.9238,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-11,33.7891,37.0,0.9809,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-12,34.3816,37.0,0.9981,0.931,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-13,37.4844,37.0,0.9702,1.0442,1.0,"High confidence: long, clean history with 730 days of observations."
P09,2028-01-14,39.8644,37.0,1.0318,1.0442,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-01,57.2114,49.0,1.1479,1.0171,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-02,52.0921,49.0,1.0733,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-03,44.3994,49.0,0.9148,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-04,45.6321,49.0,0.9402,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-05,47.2677,49.0,0.9739,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-06,47.9133,49.0,0.9872,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-07,50.9515,49.0,1.0498,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-08,55.7128,49.0,1.1479,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-09,52.0921,49.0,1.0733,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-10,44.3994,49.0,0.9148,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-11,45.6321,49.0,0.9402,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-12,47.2677,49.0,0.9739,0.9905,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-13,57.8505,49.0,0.9872,1.1959,1.0,"High confidence: long, clean history with 730 days of observations."
P10,2028-01-14,61.5189,49.0,1.0498,1.1959,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-01,14.7139,16.0,1.1289,0.8146,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-02,17.6546,16.0,1.1,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-03,14.9807,16.0,0.9334,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-04,15.5521,16.0,0.969,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-05,15.1733,16.0,0.9454,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-06,15.6114,16.0,0.9727,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-07,16.5391,16.0,1.0305,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-08,18.1184,16.0,1.1289,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-09,17.6546,16.0,1.1,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-10,14.9807,16.0,0.9334,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-11,15.5521,16.0,0.969,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-12,15.1733,16.0,0.9454,1.0031,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-13,19.1646,16.0,0.9727,1.2314,1.0,"High confidence: long, clean history with 730 days of observations."
P11,2028-01-14,20.3034,16.0,1.0305,1.2314,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-01,13.939,17.0,1.1808,0.6944,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-02,17.8724,17.0,1.1084,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-03,14.87,17.0,0.9222,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-04,15.049,17.0,0.9333,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-05,15.3957,17.0,0.9548,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-06,15.6488,17.0,0.9705,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-07,16.6695,17.0,1.0338,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-08,19.0398,17.0,1.1808,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-09,17.8724,17.0,1.1084,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-10,14.87,17.0,0.9222,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-11,15.049,17.0,0.9333,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-12,15.3957,17.0,0.9548,0.9485,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-13,20.0149,17.0,0.9705,1.2131,1.0,"High confidence: long, clean history with 730 days of observations."
P12,2028-01-14,21.3203,17.0,1.0338,1.2131,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-01,18.507,23.0,1.1655,0.6904,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-02,25.7792,23.0,1.1301,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-03,20.0421,23.0,0.8786,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-04,21.6412,23.0,0.9487,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-05,21.8145,23.0,0.9563,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-06,22.5285,23.0,0.9876,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-07,23.5915,23.0,1.0342,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-08,26.5867,23.0,1.1655,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-09,25.7792,23.0,1.1301,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-10,20.0421,23.0,0.8786,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-11,21.6412,23.0,0.9487,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-12,21.8145,23.0,0.9563,0.9918,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-13,26.7436,23.0,0.9876,1.1774,1.0,"High confidence: long, clean history with 730 days of observations."
P13,2028-01-14,28.0055,23.0,1.0342,1.1774,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-01,51.6416,66.0,1.1453,0.6832,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-02,71.0102,66.0,1.1035,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-03,58.8996,66.0,0.9153,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-04,60.3732,66.0,0.9382,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-05,60.9201,66.0,0.9467,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-06,64.7747,66.0,1.0066,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-07,66.3642,66.0,1.0313,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-08,73.7001,66.0,1.1453,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-09,71.0102,66.0,1.1035,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-10,58.8996,66.0,0.9153,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-11,60.3732,66.0,0.9382,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-12,60.9201,66.0,0.9467,0.975,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-13,72.3663,66.0,1.0066,1.0893,1.0,"High confidence: long, clean history with 730 days of observations."
P14,2028-01-14,74.142,66.0,1.0313,1.0893,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-01,23.0073,36.0,1.0854,0.5888,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-02,36.4899,36.0,1.0828,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-03,31.0744,36.0,0.9221,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-04,32.5572,36.0,0.9661,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-05,31.927,36.0,0.9474,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-06,33.3356,36.0,0.9892,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-07,36.2776,36.0,1.0765,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-08,36.5775,36.0,1.0854,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-09,36.4899,36.0,1.0828,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-10,31.0744,36.0,0.9221,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-11,32.5572,36.0,0.9661,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-12,31.927,36.0,0.9474,0.9361,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-13,34.5491,36.0,0.9892,0.9702,1.0,"High confidence: long, clean history with 730 days of observations."
P15,2028-01-14,37.5981,36.0,1.0765,0.9702,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-01,41.2724,46.0,1.1731,0.7648,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-02,49.8003,46.0,1.1055,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-03,40.8629,46.0,0.9071,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-04,41.2683,46.0,0.9161,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-05,45.0793,46.0,1.0007,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-06,44.1694,46.0,0.9805,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-07,45.5298,46.0,1.0107,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-08,52.8456,46.0,1.1731,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-09,49.8003,46.0,1.1055,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-10,40.8629,46.0,0.9071,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-11,41.2683,46.0,0.9161,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-12,45.0793,46.0,1.0007,0.9793,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-13,50.9008,46.0,0.9805,1.1285,1.0,"High confidence: long, clean history with 730 days of observations."
P16,2028-01-14,52.4686,46.0,1.0107,1.1285,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-01,12.9155,14.0,1.1952,0.7719,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-02,16.3903,14.0,1.1318,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-03,13.0566,14.0,0.9016,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-04,13.6359,14.0,0.9416,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-05,14.0631,14.0,0.9711,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-06,13.6185,14.0,0.9404,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-07,14.9479,14.0,1.0322,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-08,17.3084,14.0,1.1952,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-09,16.3903,14.0,1.1318,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-10,13.0566,14.0,0.9016,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-11,13.6359,14.0,0.9416,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-12,14.0631,14.0,0.9711,1.0344,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-13,16.0617,14.0,0.9404,1.22,1.0,"High confidence: long, clean history with 730 days of observations."
P17,2028-01-14,17.6296,14.0,1.0322,1.22,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-01,47.3573,51.0,1.1285,0.8228,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-02,55.242,51.0,1.098,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-03,45.2753,51.0,0.8999,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-04,48.1783,51.0,0.9576,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-05,48.8525,51.0,0.971,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-06,50.2058,51.0,0.9979,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-07,51.524,51.0,1.0241,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-08,56.7765,51.0,1.1285,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-09,55.242,51.0,1.098,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-10,45.2753,51.0,0.8999,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-11,48.1783,51.0,0.9576,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-12,48.8525,51.0,0.971,0.9865,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-13,60.498,51.0,0.9979,1.1887,1.0,"High confidence: long, clean history with 730 days of observations."
P18,2028-01-14,62.0864,51.0,1.0241,1.1887,1.0,"High confidence: long, clean history with 730 days of observations."
P19,2028-01-01,33.8268,44.0,1.1191,0.687,1.0,"High confidence: long, clean history with 730 days of observations."
P19,2028-01-02,44.6585,44.0,1.0809,0.939,1.0,"High confidence: long, clean history with 730 days of observations."
