date,product_id,units_sold,stock_available_end_of_day,promotion_flag,unit_price
2026-03-02,P01,31,60,0,320
2026-03-03,P01,33,115,0,320
2026-03-04,P01,27,82,0,320
2026-03-05,P01,35,67,0,320
2026-03-06,P01,41,107,1,320
2026-03-07,P01,46,94,1,320
2026-03-08,P01,40,66,0,320
2026-03-09,P01,31,50,0,320
2026-03-10,P01,36,32,0,320
2026-03-11,P01,31,134,0,320
2026-03-12,P01,37,84,0,320
2026-03-13,P01,43,78,1,320
2026-03-14,P01,53,127,1,320
2026-03-15,P01,41,101,0,320
2026-03-16,P01,30,43,0,320
2026-03-17,P01,23,57,0,320
2026-03-18,P01,28,62,0,320
2026-03-19,P01,27,114,0,320
2026-03-20,P01,45,50,1,320
2026-03-21,P01,44,65,1,320
2026-03-22,P01,36,77,0,320
2026-03-23,P01,31,47,0,320
2026-03-24,P01,32,107,0,320
2026-03-25,P01,41,68,0,320
2026-03-26,P01,34,35,0,320
2026-03-27,P01,58,71,1,320
2026-03-28,P01,72,93,1,320
2026-03-29,P01,48,47,0,320
2026-03-30,P01,38,55,0,320
2026-03-31,P01,49,65,0,320
2026-04-01,P01,36,108,0,320
2026-04-02,P01,45,84,0,320
2026-04-03,P01,44,111,0,320
2026-04-04,P01,51,62,0,320
2026-04-05,P01,57,83,0,320
2026-04-06,P01,38,62,0,320
2026-04-07,P01,25,134,0,320
2026-04-08,P01,46,96,0,320
2026-04-09,P01,42,63,0,320
2026-04-10,P01,55,71,0,320
2026-04-11,P01,60,100,0,320
2026-04-12,P01,48,91,0,320
2026-04-13,P01,38,126,0,320
2026-04-14,P01,42,52,0,320
2026-04-15,P01,38,44,0,320
2026-04-16,P01,44,42,0,320
2026-04-17,P01,60,84,0,320
2026-04-18,P01,62,69,0,320
2026-04-19,P01,56,111,0,320
2026-04-20,P01,47,78,0,320
2026-04-21,P01,43,85,0,320
2026-04-22,P01,35,73,0,320
2026-04-23,P01,43,72,0,320
2026-04-24,P01,36,111,0,320
2026-04-25,P01,47,87,0,320
2026-04-26,P01,47,101,0,320
2026-04-27,P01,50,125,0,320
2026-04-28,P01,48,104,0,320
2026-04-29,P01,45,110,0,320
2026-04-30,P01,54,102,0,320
2026-05-01,P01,42,85,0,320
2026-05-02,P01,62,88,0,320
2026-05-03,P01,61,92,0,320
2026-05-04,P01,31,64,0,320
2026-05-05,P01,41,69,0,320
2026-05-06,P01,41,88,0,320
2026-05-07,P01,45,47,0,320
2026-05-08,P01,38,65,0,320
2026-05-09,P01,50,84,0,320
2026-05-10,P01,42,113,0,320
2026-05-11,P01,48,73,0,320
2026-05-12,P01,51,126,0,320
2026-05-13,P01,48,116,0,320
2026-05-14,P01,42,139,0,320
2026-05-15,P01,51,92,0,320
2026-05-16,P01,50,59,0,320
2026-05-17,P01,55,82,0,320
2026-05-18,P01,36,134,0,320
2026-05-19,P01,32,88,0,320
2026-05-20,P01,40,64,0,320
2026-05-21,P01,43,64,0,320
2026-05-22,P01,48,61,0,320
2026-05-23,P01,64,124,0,320
2026-05-24,P01,47,95,0,320
2026-05-25,P01,32,40,0,320
2026-05-26,P01,31,48,0,320
2026-05-27,P01,48,62,0,320
2026-05-28,P01,57,87,0,320
2026-05-29,P01,44,80,0,320
2026-05-30,P01,63,88,0,320
2026-05-31,P01,50,92,0,320
2026-06-01,P01,43,75,0,320
2026-06-02,P01,46,97,0,320
2026-06-03,P01,50,80,0,320
2026-06-04,P01,58,81,0,320
2026-06-05,P01,45,125,0,320
2026-06-06,P01,64,67,0,320
2026-06-07,P01,45,123,0,320
2026-06-08,P01,48,49,0,320
2026-06-09,P01,42,132,0,320
2026-06-10,P01,35,138,0,320
2026-06-11,P01,41,93,0,320
2026-06-12,P01,46,98,0,320
2026-06-13,P01,57,55,0,320
2026-06-14,P01,35,64,0,320
2026-06-15,P01,49,50,0,320
2026-06-16,P01,35,133,0,320
2026-06-17,P01,53,51,0,320
2026-06-18,P01,45,54,0,320
2026-06-19,P01,58,86,0,320
2026-06-20,P01,38,118,0,320
2026-06-21,P01,36,62,0,320
2026-06-22,P01,50,90,0,320
2026-06-23,P01,46,125,0,320
2026-06-24,P01,39,111,0,320
2026-06-25,P01,51,69,0,320
2026-06-26,P01,48,81,0,320
2026-06-27,P01,48,82,0,320
2026-06-28,P01,55,59,0,320
2026-06-29,P01,39,54,0,320
2026-06-30,P01,53,100,0,320
2026-07-01,P01,51,99,0,320
2026-07-02,P01,45,135,0,320
2026-07-03,P01,61,129,1,320
2026-07-04,P01,67,101,1,320
2026-07-05,P01,50,131,0,320
2026-07-06,P01,45,93,0,320
2026-07-07,P01,44,50,0,320
2026-07-08,P01,66,74,0,320
2026-07-09,P01,43,136,0,320
2026-07-10,P01,47,70,1,320
2026-07-11,P01,60,71,1,320
2026-07-12,P01,43,44,0,320
2026-07-13,P01,37,74,0,320
2026-07-14,P01,47,78,0,320
2026-07-15,P01,36,49,0,320
2026-07-16,P01,50,85,0,320
2026-07-17,P01,68,102,1,320
2026-07-18,P01,63,80,1,320
2026-07-19,P01,45,57,0,320
2026-07-20,P01,43,83,0,320
2026-07-21,P01,34,112,0,320
2026-07-22,P01,50,76,0,320
2026-07-23,P01,46,90,0,320
2026-07-24,P01,46,65,1,320
2026-07-25,P01,46,78,1,320
2026-07-26,P01,51,74,0,320
2026-07-27,P01,45,79,0,320
2026-07-28,P01,37,57,0,320
2026-07-29,P01,51,126,0,320
2026-07-30,P01,41,94,0,320
2026-07-31,P01,56,83,1,320
2026-08-01,P01,59,136,0,320
2026-08-02,P01,61,65,0,320
2026-08-03,P01,47,54,0,320
2026-08-04,P01,39,131,0,320
2026-08-05,P01,42,57,0,320
2026-08-06,P01,30,73,0,320
2026-08-07,P01,42,63,0,320
2026-08-08,P01,58,99,0,320
2026-08-09,P01,41,115,0,320
2026-08-10,P01,39,55,0,320
2026-08-11,P01,48,80,0,320
2026-08-12,P01,49,46,0,320
2026-08-13,P01,52,90,0,320
2026-08-14,P01,32,47,0,320
2026-08-15,P01,64,84,1,320
2026-08-16,P01,69,118,1,320
2026-08-17,P01,54,114,1,320
2026-08-18,P01,51,137,0,320
2026-08-19,P01,50,84,0,320
2026-08-20,P01,44,92,0,320
2026-08-21,P01,44,103,0,320
2026-08-22,P01,48,74,0,320
2026-08-23,P01,47,72,0,320
2026-08-24,P01,38,58,0,320
2026-08-25,P01,49,109,0,320
2026-08-26,P01,41,126,0,320
2026-08-27,P01,48,73,0,320
2026-08-28,P01,52,108,0,320
2026-08-29,P01,43,74,0,320
2026-08-30,P01,45,64,0,320
2026-08-31,P01,39,86,0,320
2026-09-01,P01,42,62,0,320
2026-09-02,P01,50,112,0,320
2026-09-03,P01,47,107,0,320
2026-09-04,P01,49,52,0,320
2026-09-05,P01,343,63,0,320
2026-09-06,P01,57,57,0,320
2026-09-07,P01,37,63,0,320
2026-09-08,P01,46,62,0,320
2026-09-09,P01,40,52,0,320
2026-09-10,P01,40,75,0,320
2026-09-11,P01,49,139,0,320
2026-09-12,P01,58,66,0,320
2026-09-13,P01,39,98,0,320
2026-09-14,P01,39,124,0,320
2026-09-15,P01,37,60,0,320
2026-09-16,P01,44,116,0,320
2026-09-17,P01,48,70,0,320
2026-09-18,P01,55,87,0,320
2026-09-19,P01,46,132,0,320
2026-09-20,P01,56,137,0,320
2026-09-21,P01,39,98,0,320
2026-09-22,P01,34,125,0,320
2026-09-23,P01,42,82,0,320
2026-09-24,P01,37,62,0,320
2026-09-25,P01,48,79,0,320
2026-09-26,P01,48,124,0,320
2026-09-27,P01,47,65,0,320
2026-09-28,P01,47,130,0,320
2026-09-29,P01,35,64,0,320
2026-09-30,P01,59,82,0,320
2026-10-01,P01,43,120,0,320
2026-10-02,P01,51,106,1,320
2026-10-03,P01,74,108,1,320
2026-10-04,P01,55,133,0,320
2026-10-05,P01,37,49,0,320
2026-10-06,P01,36,136,0,320
2026-10-07,P01,42,59,0,320
2026-10-08,P01,45,123,0,320
2026-10-09,P01,54,72,1,320
2026-10-10,P01,67,89,1,320
2026-10-11,P01,56,81,0,320
2026-10-12,P01,44,53,0,320
2026-10-13,P01,46,129,0,320
2026-10-14,P01,47,64,0,320
2026-10-15,P01,49,133,0,320
2026-10-16,P01,66,90,1,320
2026-10-17,P01,72,127,1,320
2026-10-18,P01,60,57,0,320
2026-10-19,P01,34,120,0,320
2026-10-20,P01,82,108,1,320
2026-10-21,P01,101,110,1,320
2026-10-22,P01,99,101,1,320
2026-10-23,P01,99,104,1,320
2026-10-24,P01,99,129,1,320
2026-10-25,P01,128,144,1,320
2026-10-26,P01,48,74,0,320
2026-10-27,P01,34,60,0,320
2026-10-28,P01,42,55,0,320
2026-10-29,P01,44,63,0,320
2026-10-30,P01,62,108,1,320
2026-10-31,P01,58,54,1,320
2026-11-01,P01,101,134,1,320
2026-11-02,P01,85,103,1,320
2026-11-03,P01,83,88,1,320
2026-11-04,P01,41,96,0,320
2026-11-05,P01,45,49,0,320
2026-11-06,P01,53,131,0,320
2026-11-07,P01,42,124,0,320
2026-11-08,P01,57,112,0,320
2026-11-09,P01,53,101,0,320
2026-11-10,P01,43,63,0,320
2026-11-11,P01,44,60,0,320
2026-11-12,P01,48,43,0,320
2026-11-13,P01,47,98,0,320
2026-11-14,P01,69,100,0,320
2026-11-15,P01,46,65,0,320
2026-11-16,P01,39,122,0,320
2026-11-17,P01,47,57,0,320
2026-11-18,P01,46,108,0,320
2026-11-19,P01,49,125,0,320
2026-11-20,P01,48,116,0,320
2026-11-21,P01,72,77,0,320
2026-11-22,P01,45,71,0,320
2026-11-23,P01,43,68,0,320
2026-11-24,P01,37,119,0,320
2026-11-25,P01,49,58,0,320
2026-11-26,P01,51,113,0,320
2026-11-27,P01,48,123,0,320
2026-11-28,P01,50,63,0,320
2026-11-29,P01,59,85,0,320
2026-11-30,P01,48,77,0,320
2026-12-01,P01,44,77,0,320
2026-12-02,P01,47,49,0,320
2026-12-03,P01,49,105,0,320
2026-12-04,P01,31,87,0,320
2026-12-05,P01,60,124,0,320
2026-12-06,P01,56,64,0,320
2026-12-07,P01,44,136,0,320
2026-12-08,P01,37,57,0,320
2026-12-09,P01,49,56,0,320
2026-12-10,P01,41,89,0,320
2026-12-11,P01,65,76,0,320
2026-12-12,P01,53,107,0,320
2026-12-13,P01,47,120,0,320
2026-12-14,P01,47,109,0,320
2026-12-15,P01,47,98,0,320
2026-12-16,P01,45,71,0,320
2026-12-17,P01,47,69,0,320
2026-12-18,P01,35,115,0,320
2026-12-19,P01,60,77,0,320
2026-12-20,P01,54,123,0,320
2026-12-21,P01,48,82,0,320
2026-12-22,P01,47,106,0,320
2026-12-23,P01,33,97,0,320
2026-12-24,P01,49,55,0,320
2026-12-25,P01,47,63,0,320
2026-12-26,P01,56,102,0,320
2026-12-27,P01,40,125,0,320
2026-12-28,P01,57,85,0,320
2026-12-29,P01,51,122,0,320
2026-12-30,P01,52,103,0,320
2026-12-31,P01,37,45,0,320
2027-01-01,P01,46,76,0,320
2027-01-02,P01,47,112,0,320
2027-01-03,P01,58,76,0,320
2027-01-04,P01,38,83,0,320
2027-01-05,P01,44,74,0,320
2027-01-06,P01,43,75,0,320
2027-01-07,P01,51,62,0,320
2027-01-08,P01,41,105,0,320
2027-01-09,P01,58,103,0,320
2027-01-10,P01,49,113,0,320
2027-01-11,P01,37,54,0,320
2027-01-12,P01,48,99,0,320
2027-01-13,P01,86,124,1,320
2027-01-14,P01,68,81,1,320
2027-01-15,P01,64,86,1,320
2027-01-16,P01,85,131,1,320
2027-01-17,P01,40,94,0,320
2027-01-18,P01,37,109,0,320
2027-01-19,P01,38,93,0,320
2027-01-20,P01,42,109,0,320
2027-01-21,P01,32,96,0,320
2027-01-22,P01,50,128,0,320
2027-01-23,P01,60,81,0,320
2027-01-24,P01,45,58,0,320
2027-01-25,P01,37,53,0,320
2027-01-26,P01,51,70,0,320
2027-01-27,P01,37,85,0,320
2027-01-28,P01,42,76,0,320
2027-01-29,P01,54,91,0,320
2027-01-30,P01,50,83,0,320
2027-01-31,P01,49,78,0,320
2027-02-01,P01,37,58,0,320
2027-02-02,P01,43,117,0,320
2027-02-03,P01,38,66,0,320
2027-02-04,P01,48,110,0,320
2027-02-05,P01,37,49,0,320
2027-02-06,P01,51,80,0,320
2027-02-07,P01,51,137,0,320
2027-02-08,P01,46,69,0,320
2027-02-09,P01,37,118,0,320
2027-02-10,P01,39,56,0,320
2027-02-11,P01,43,118,0,320
2027-02-12,P01,47,56,0,320
2027-02-13,P01,49,139,0,320
2027-02-14,P01,39,52,0,320
2027-02-15,P01,44,76,0,320
2027-02-16,P01,41,51,0,320
2027-02-17,P01,42,120,0,320
2027-02-18,P01,42,115,0,320
2027-02-19,P01,36,33,0,320
2027-02-20,P01,36,134,0,320
2027-02-21,P01,51,94,0,320
2027-02-22,P01,38,125,0,320
2027-02-23,P01,39,71,0,320
2027-02-24,P01,32,119,0,320
2027-02-25,P01,39,72,0,320
2027-02-26,P01,37,133,0,320
2027-02-27,P01,51,60,0,320
2027-02-28,P01,51,85,0,320
2027-03-01,P01,41,126,0,320
2027-03-02,P01,40,73,0,320
2027-03-03,P01,47,77,0,320
2027-03-04,P01,46,84,0,320
2027-03-05,P01,51,73,1,320
2027-03-06,P01,54,61,1,320
2027-03-07,P01,39,57,0,320
2027-03-08,P01,29,47,0,320
2027-03-09,P01,49,70,0,320
2027-03-10,P01,42,75,0,320
2027-03-11,P01,44,136,0,320
2027-03-12,P01,61,134,1,320
2027-03-13,P01,70,102,1,320
2027-03-14,P01,58,66,0,320
2027-03-15,P01,46,67,0,320
2027-03-16,P01,48,76,0,320
2027-03-17,P01,36,45,0,320
2027-03-18,P01,46,102,0,320
2027-03-19,P01,65,89,1,320
2027-03-20,P01,57,53,1,320
2027-03-21,P01,42,124,0,320
2027-03-22,P01,31,127,0,320
2027-03-23,P01,42,95,0,320
2027-03-24,P01,37,81,0,320
2027-03-25,P01,42,73,0,320
2027-03-26,P01,66,90,1,320
2027-03-27,P01,65,107,1,320
2027-03-28,P01,66,82,0,320
2027-03-29,P01,36,38,0,320
2027-03-30,P01,46,111,0,320
2027-03-31,P01,45,65,0,320
2027-04-01,P01,47,44,0,320
2027-04-02,P01,44,68,0,320
2027-04-03,P01,54,112,0,320
2027-04-04,P01,45,90,0,320
2027-04-05,P01,30,115,0,320
2027-04-06,P01,37,113,0,320
2027-04-07,P01,42,128,0,320
2027-04-08,P01,42,39,0,320
2027-04-09,P01,47,56,0,320
2027-04-10,P01,61,79,0,320
2027-04-11,P01,40,131,0,320
2027-04-12,P01,44,100,0,320
2027-04-13,P01,29,91,0,320
2027-04-14,P01,42,55,0,320
2027-04-15,P01,42,69,0,320
2027-04-16,P01,37,60,0,320
2027-04-17,P01,53,135,0,320
2027-04-18,P01,67,98,0,320
2027-04-19,P01,53,66,0,320
2027-04-20,P01,40,82,0,320
2027-04-21,P01,48,58,0,320
2027-04-22,P01,47,132,0,320
2027-04-23,P01,42,71,0,320
2027-04-24,P01,58,78,0,320
2027-04-25,P01,52,80,0,320
2027-04-26,P01,38,63,0,320
2027-04-27,P01,46,80,0,320
2027-04-28,P01,59,112,0,320
2027-04-29,P01,54,139,0,320
2027-04-30,P01,46,85,0,320
2027-05-01,P01,51,103,0,320
2027-05-02,P01,72,98,0,320
2027-05-03,P01,50,130,0,320
2027-05-04,P01,36,69,0,320
2027-05-05,P01,46,67,0,320
2027-05-06,P01,45,118,0,320
2027-05-07,P01,46,118,0,320
2027-05-08,P01,50,49,0,320
2027-05-09,P01,66,91,0,320
2027-05-10,P01,45,105,0,320
2027-05-11,P01,48,65,0,320
2027-05-12,P01,45,51,0,320
2027-05-13,P01,41,56,0,320
2027-05-14,P01,48,126,0,320
2027-05-15,P01,43,58,0,320
2027-05-16,P01,56,114,0,320
2027-05-17,P01,37,83,0,320
2027-05-18,P01,49,120,0,320
2027-05-19,P01,41,49,0,320
2027-05-20,P01,42,70,0,320
2027-05-21,P01,54,84,0,320
2027-05-22,P01,59,90,0,320
2027-05-23,P01,70,99,0,320
2027-05-24,P01,37,51,0,320
2027-05-25,P01,34,48,0,320
2027-05-26,P01,46,72,0,320
2027-05-27,P01,63,85,0,320
2027-05-28,P01,40,98,0,320
2027-05-29,P01,70,82,0,320
2027-05-30,P01,61,128,0,320
2027-05-31,P01,44,40,0,320
2027-06-01,P01,51,75,0,320
2027-06-02,P01,40,62,0,320
2027-06-03,P01,60,115,0,320
2027-06-04,P01,46,137,0,320
2027-06-05,P01,45,120,0,320
2027-06-06,P01,61,105,0,320
2027-06-07,P01,49,95,0,320
2027-06-08,P01,45,116,0,320
2027-06-09,P01,46,106,0,320
2027-06-10,P01,33,93,0,320
2027-06-11,P01,53,80,0,320
2027-06-12,P01,47,83,0,320
2027-06-13,P01,45,75,0,320
2027-06-14,P01,38,65,0,320
2027-06-15,P01,50,46,0,320
2027-06-16,P01,30,87,0,320
2027-06-17,P01,47,48,0,320
2027-06-18,P01,38,89,0,320
2027-06-19,P01,46,133,0,320
2027-06-20,P01,46,73,0,320
2027-06-21,P01,46,131,0,320
2027-06-22,P01,39,65,0,320
2027-06-23,P01,43,110,0,320
2027-06-24,P01,35,98,0,320
2027-06-25,P01,36,121,0,320
2027-06-26,P01,45,92,0,320
2027-06-27,P01,44,109,0,320
2027-06-28,P01,43,48,0,320
2027-06-29,P01,41,43,0,320
2027-06-30,P01,43,85,0,320
2027-07-01,P01,58,125,0,320
2027-07-02,P01,63,76,1,320
2027-07-03,P01,58,81,1,320
2027-07-04,P01,60,130,0,320
2027-07-05,P01,33,62,0,320
2027-07-06,P01,41,56,0,320
2027-07-07,P01,39,115,0,320
2027-07-08,P01,48,112,0,320
2027-07-09,P01,60,84,1,320
2027-07-10,P01,55,68,1,320
2027-07-11,P01,49,127,0,320
2027-07-12,P01,39,93,0,320
2027-07-13,P01,47,67,0,320
2027-07-14,P01,50,93,0,320
2027-07-15,P01,50,84,0,320
2027-07-16,P01,44,117,1,320
2027-07-17,P01,63,74,1,320
2027-07-18,P01,53,69,0,320
2027-07-19,P01,30,106,0,320
2027-07-20,P01,37,44,0,320
2027-07-21,P01,51,85,0,320
2027-07-22,P01,40,74,0,320
2027-07-23,P01,59,114,1,320
2027-07-24,P01,74,94,1,320
2027-07-25,P01,46,72,0,320
2027-07-26,P01,40,69,0,320
2027-07-27,P01,41,69,0,320
2027-07-28,P01,47,58,0,320
2027-07-29,P01,51,68,0,320
2027-07-30,P01,63,135,1,320
2027-07-31,P01,76,130,1,320
2027-08-01,P01,52,138,0,320
2027-08-02,P01,47,66,0,320
2027-08-03,P01,52,122,0,320
2027-08-04,P01,48,104,0,320
2027-08-05,P01,38,59,0,320
2027-08-06,P01,47,63,0,320
2027-08-07,P01,59,66,0,320
2027-08-08,P01,38,72,0,320
2027-08-09,P01,28,67,0,320
2027-08-10,P01,39,40,0,320
2027-08-11,P01,28,96,0,320
2027-08-12,P01,37,34,0,320
2027-08-13,P01,38,132,0,320
2027-08-14,P01,53,93,0,320
2027-08-15,P01,73,99,1,320
2027-08-16,P01,68,94,1,320
2027-08-17,P01,57,69,1,320
2027-08-18,P01,52,88,0,320
2027-08-19,P01,45,74,0,320
2027-08-20,P01,41,63,0,320
2027-08-21,P01,53,131,0,320
2027-08-22,P01,63,82,0,320
2027-08-23,P01,30,49,0,320
2027-08-24,P01,46,109,0,320
2027-08-25,P01,44,42,0,320
2027-08-26,P01,54,79,0,320
2027-08-27,P01,44,136,0,320
2027-08-28,P01,64,118,0,320
2027-08-29,P01,46,61,0,320
2027-08-30,P01,56,77,0,320
2027-08-31,P01,60,94,0,320
2027-09-01,P01,47,56,0,320
2027-09-02,P01,54,99,0,320
2027-09-03,P01,43,59,0,320
2027-09-04,P01,52,71,0,320
2027-09-05,P01,350,62,0,320
2027-09-06,P01,44,62,0,320
2027-09-07,P01,45,77,0,320
2027-09-08,P01,43,59,0,320
2027-09-09,P01,48,105,0,320
2027-09-10,P01,43,133,0,320
2027-09-11,P01,60,89,0,320
2027-09-12,P01,40,72,0,320
2027-09-13,P01,42,81,0,320
2027-09-14,P01,28,131,0,320
2027-09-15,P01,53,105,0,320
2027-09-16,P01,45,66,0,320
2027-09-17,P01,45,112,0,320
2027-09-18,P01,36,127,0,320
2027-09-19,P01,47,68,0,320
2027-09-20,P01,44,95,0,320
2027-09-21,P01,44,108,0,320
2027-09-22,P01,51,99,0,320
2027-09-23,P01,59,65,0,320
2027-09-24,P01,41,97,0,320
2027-09-25,P01,44,125,0,320
2027-09-26,P01,52,70,0,320
2027-09-27,P01,52,57,0,320
2027-09-28,P01,39,110,0,320
2027-09-29,P01,42,104,0,320
2027-09-30,P01,38,44,0,320
2027-10-01,P01,69,90,1,320
2027-10-02,P01,69,135,1,320
2027-10-03,P01,49,67,0,320
2027-10-04,P01,48,75,0,320
2027-10-05,P01,41,74,0,320
2027-10-06,P01,51,131,0,320
2027-10-07,P01,44,43,0,320
2027-10-08,P01,50,81,1,320
2027-10-09,P01,69,94,1,320
2027-10-10,P01,46,51,0,320
2027-10-11,P01,53,70,0,320
2027-10-12,P01,40,47,0,320
2027-10-13,P01,41,72,0,320
2027-10-14,P01,51,73,0,320
2027-10-15,P01,47,90,1,320
2027-10-16,P01,52,119,1,320
2027-10-17,P01,60,58,0,320
2027-10-18,P01,43,129,0,320
2027-10-19,P01,37,48,0,320
2027-10-20,P01,98,132,1,320
2027-10-21,P01,87,87,1,320
2027-10-22,P01,98,132,1,320
2027-10-23,P01,99,114,1,320
2027-10-24,P01,109,117,1,320
2027-10-25,P01,82,118,1,320
2027-10-26,P01,38,50,0,320
2027-10-27,P01,48,50,0,320
2027-10-28,P01,50,72,0,320
2027-10-29,P01,52,69,1,320
2027-10-30,P01,65,79,1,320
2027-10-31,P01,49,130,0,320
2027-11-01,P01,89,127,1,320
2027-11-02,P01,80,89,1,320
2027-11-03,P01,95,92,1,320
2027-11-04,P01,52,83,0,320
2027-11-05,P01,53,65,0,320
2027-11-06,P01,55,75,0,320
2027-11-07,P01,57,104,0,320
2027-11-08,P01,45,114,0,320
2027-11-09,P01,37,133,0,320
2027-11-10,P01,41,69,0,320
2027-11-11,P01,46,95,0,320
2027-11-12,P01,44,78,0,320
2027-11-13,P01,54,112,0,320
2027-11-14,P01,51,55,0,320
2027-11-15,P01,45,73,0,320
2027-11-16,P01,45,64,0,320
2027-11-17,P01,48,97,0,320
2027-11-18,P01,41,91,0,320
2027-11-19,P01,43,50,0,320
2027-11-20,P01,64,62,0,320
2027-11-21,P01,50,106,0,320
2027-11-22,P01,46,79,0,320
2027-11-23,P01,50,83,0,320
2027-11-24,P01,48,122,0,320
2027-11-25,P01,48,80,0,320
2027-11-26,P01,42,62,0,320
2027-11-27,P01,67,72,0,320
2027-11-28,P01,58,72,0,320
2027-11-29,P01,57,92,0,320
2027-11-30,P01,43,64,0,320
2027-12-01,P01,42,131,0,320
2027-12-02,P01,56,112,0,320
2027-12-03,P01,58,87,0,320
2027-12-04,P01,54,77,0,320
2027-12-05,P01,37,66,0,320
2027-12-06,P01,52,128,0,320
2027-12-07,P01,34,90,0,320
2027-12-08,P01,34,59,0,320
2027-12-09,P01,54,68,0,320
2027-12-10,P01,62,65,0,320
2027-12-11,P01,55,56,0,320
2027-12-12,P01,49,46,0,320
2027-12-13,P01,41,139,0,320
2027-12-14,P01,28,136,0,320
2027-12-15,P01,55,93,0,320
2027-12-16,P01,38,61,0,320
2027-12-17,P01,59,93,0,320
2027-12-18,P01,51,62,0,320
2027-12-19,P01,45,56,0,320
2027-12-20,P01,34,77,0,320
2027-12-21,P01,53,72,0,320
2027-12-22,P01,40,78,0,320
2027-12-23,P01,34,63,0,320
2027-12-24,P01,56,115,0,320
2027-12-25,P01,58,90,0,320
2027-12-26,P01,42,64,0,320
2027-12-27,P01,43,137,0,320
2027-12-28,P01,52,137,0,320
2027-12-29,P01,41,64,0,320
2027-12-30,P01,48,110,0,320
2027-12-31,P01,60,135,0,320
2026-01-01,P02,37,136,0,55
2026-01-02,P02,29,68,0,55
2026-01-03,P02,37,68,0,55
2026-01-04,P02,30,48,0,55
2026-01-05,P02,23,46,0,55
2026-01-06,P02,23,137,0,55
2026-01-07,P02,28,73,0,55
2026-01-08,P02,21,90,0,55
2026-01-09,P02,31,61,0,55
2026-01-10,P02,37,87,0,55
2026-01-11,P02,41,65,0,55
2026-01-12,P02,34,49,0,55
2026-01-13,P02,45,63,1,55
2026-01-14,P02,55,136,1,55
2026-01-15,P02,62,120,1,55
2026-01-16,P02,62,112,1,55
2026-01-17,P02,57,80,0,55
2026-01-18,P02,42,71,0,55
2026-01-19,P02,33,52,0,55
2026-01-20,P02,32,122,0,55
2026-01-21,P02,31,85,0,55
2026-01-22,P02,40,121,0,55
2026-01-23,P02,58,109,0,55
2026-01-24,P02,50,76,0,55
2026-01-25,P02,44,52,0,55
2026-01-26,P02,35,68,0,55
2026-01-27,P02,22,62,0,55
2026-01-28,P02,37,80,0,55
2026-01-29,P02,50,134,0,55
2026-01-30,P02,51,82,0,55
2026-01-31,P02,54,102,0,55
2026-02-01,P02,48,62,0,55
2026-02-02,P02,38,68,0,55
2026-02-03,P02,48,96,0,55
2026-02-04,P02,42,71,0,55
2026-02-05,P02,50,68,0,55
2026-02-06,P02,50,67,0,55
2026-02-07,P02,60,72,0,55
2026-02-08,P02,49,58,0,55
2026-02-09,P02,44,57,0,55
2026-02-10,P02,53,66,0,55
2026-02-11,P02,43,56,0,55
2026-02-12,P02,45,51,0,55
2026-02-13,P02,47,51,0,55
